gene,logFC_limma,p_limma,FDR_limma,logFC_edgeR,p_edgeR,FDR_edgeR,agree_dir,mean_logFC,p_fisher,FDR_fisher
ENSG00000053328,-1.8239763572024752,0.3668517326881719,0.884766171877429,-1.9507085284056047,0.20698608018202524,0.9999988525496899,TRUE,-1.88734244280404,0.271681498470743,0.45039698418352864
ENSG00000149948,-2.136597455594014,0.36687844306213485,0.884766171877429,-2.069951590201566,0.2850312230883811,0.9999988525496899,TRUE,-2.10327452289779,0.3406825438572279,0.5013372802115379
ENSG00000178188,-2.6147407825698314,0.3669261683010066,0.884766171877429,-1.3744768411320525,0.4903478707158271,0.9999988525496899,TRUE,-1.994608811850942,0.48852902880373655,0.6187159648591638
ENSG00000178919,2.3608167942034934,0.36714125297692624,0.8847773438858357,6.10550585184738,0.29683714285643115,0.9999988525496899,TRUE,4.233161323025437,0.3505466487401774,0.5092215010894612
ENSG00000125484,1.6522253136115619,0.3675504159013263,0.8851254614116384,1.7167632147901917,0.2505294354243289,0.9999988525496899,TRUE,1.6844942642008767,0.31170502200256733,0.4801002047281701
ENSG00000204160,2.1190489430880413,0.36792337793425295,0.8855956631138208,1.9792422198584159,0.2859070628801688,0.9999988525496899,TRUE,2.0491455814732285,0.3420807782928469,0.5020777430502426
ENSG00000170381,2.488625668570027,0.36807673205605457,0.8855956631138208,5.071713119213511,0.2560599183406576,0.9999988525496899,TRUE,3.780169393891769,0.3168493562870802,0.48431053878108743
ENSG00000261582,2.2282110097977577,0.3688634268747741,0.8857594812899507,2.493659544381025,0.20384934684574457,0.9999988525496899,TRUE,2.3609352770893914,0.26976859463675174,0.44892880640320715
ENSG00000173262,-2.7337680357671714,0.3692881492140998,0.8857594812899507,-1.6857772698554951,0.3926128989955357,0.9999988525496899,TRUE,-2.209772652811333,0.4249735805589024,0.5705750951888585
ENSG00000134222,2.306608247127888,0.3693640794888994,0.8857594812899507,4.8410599471964515,0.23098478076374965,0.9999988525496899,TRUE,3.5738340971621696,0.2953158732416573,0.46847596742896097
ENSG00000083807,2.051974028162141,0.36950353210029835,0.8857594812899507,0.8683702786287365,0.5486658412750602,0.9999988525496899,TRUE,1.4601721533954388,0.5262691296318641,0.6445847579098503
ENSG00000172264,-1.8198302103825807,0.36952487412857427,0.8857594812899507,-1.4101975250467256,0.3602053398406191,0.9999988525496899,TRUE,-1.6150138677146533,0.40152646721320095,0.5509467594092547
ENSG00000165799,2.021438045076363,0.36967978018954206,0.8857877212531575,1.5685139911815609,0.19940984765277056,0.9999988525496899,TRUE,1.794976018128962,0.26593774400436876,0.4473552592070146
ENSG00000147100,-2.2162730923819036,0.37032657012386977,0.8867020901193623,-1.287544089135098,0.4580433594360071,0.9999988525496899,TRUE,-1.7519085907585008,0.47056887650692203,0.6054778367545955
ENSG00000228696,-1.2153723556192364,0.37058346618770566,0.8869891490975266,-1.188690760804919,0.332531097411209,0.9999988525496899,TRUE,-1.2020315582120777,0.3812380927489181,0.5345141941283147
